,Pair
916,D60P250
917,D60P27
918,D60P358
919,D60P42
920,D60P53
921,D60P368
922,D60P132
923,D60P172
924,D60P312
925,D60P84
926,D60P291
927,D60P105
928,D60P48
929,D60P217
930,D60P466
931,D60P336
932,D60P330
933,D60P325
934,D397P255
935,D397P200
936,D397P84
937,D397P304
938,D397P145
939,D397P466
940,D397P193
941,D397P281
942,D397P151
943,D397P291
944,D397P370
945,D397P434
946,D397P90
947,D221P434
948,D221P465
949,D221P312
950,D221P342
951,D221P368
952,D221P358
953,D221P27
954,D221P133
955,D221P455
956,D221P257
957,D221P336
958,D221P151
959,D221P330
960,D221P466
961,D221P42
962,D221P227
963,D221P217
964,D221P321
965,D221P325
966,D221P291
967,D221P53
968,D221P250
969,D221P341
970,D221P460
971,D221P193
972,D221P123
973,D221P318
974,D221P7
975,D221P249
976,D221P90
977,D221P370
978,D221P84
979,D221P13
980,D221P132
981,D221P397
982,D221P96
983,D221P129
984,D221P384
985,D221P285
986,D221P48
987,D221P329
988,D221P172
989,D221P255
990,D221P105
991,D221P365
992,D3P397
993,D3P384
994,D3P365
995,D3P257
996,D3P318
997,D3P291
998,D3P465
999,D3P460
1000,D3P96
1001,D3P255
1002,D3P434
1003,D3P250
1004,D3P48
1005,D3P368
1006,D3P312
1007,D3P13
1008,D3P90
1009,D3P342
1010,D3P358
1011,D3P7
1012,D3P84
1013,D3P341
1014,D3P329
1015,D3P321
1016,D3P172
1017,D3P105
1018,D3P370
1019,D3P132
1020,D3P129
1021,D3P466
1022,D3P288
1023,D3P445
1024,D3P325
1025,D3P455
1026,D274P250
1027,D274P277
1028,D274P53
1029,D274P96
1030,D274P329
1031,D274P460
1032,D274P255
1033,D274P318
1034,D274P13
1035,D274P434
1036,D274P330
1037,D274P312
1038,D274P132
1039,D274P172
1040,D274P444
1041,D274P370
1042,D274P384
1043,D274P84
1044,D274P105
1045,D274P285
1046,D274P151
1047,D274P217
1048,D274P27
1049,D274P133
1050,D274P435
1051,D274P291
1052,D274P249
1053,D274P42
1054,D274P90
1055,D274P181
1056,D274P368
1057,D274P336
1058,D274P466
1059,D169P330
1060,D169P341
1061,D169P460
1062,D169P187
1063,D169P444
1064,D169P181
1065,D169P358
1066,D169P48
1067,D169P466
1068,D169P342
1069,D169P329
1070,D169P227
1071,D169P13
1072,D169P222
1073,D169P53
1074,D169P257
1075,D169P325
1076,D169P123
1077,D169P365
1078,D169P368
1079,D169P255
1080,D169P133
1081,D169P105
1082,D169P249
1083,D169P455
1084,D169P465
1085,D169P96
1086,D169P285
1087,D169P186
1088,D169P172
1089,D169P151
1090,D169P434
1091,D169P321
1092,D169P397
1093,D169P132
1094,D169P217
1095,D169P291
1096,D169P445
1097,D169P7
1098,D169P384
1099,D169P370
1100,D169P42
1101,D169P27
1102,D169P129
1103,D169P312
1104,D169P336
1105,D169P288
1106,D169P250
1107,D169P318
1108,D169P84
1109,D124P341
1110,D124P217
1111,D124P257
1112,D124P330
1113,D124P133
1114,D124P336
1115,D124P250
1116,D124P384
1117,D124P123
1118,D124P325
1119,D124P172
1120,D124P129
1121,D124P288
1122,D124P27
1123,D124P291
1124,D124P365
1125,D124P368
1126,D124P445
1127,D124P342
1128,D124P358
1129,D124P84
1130,D124P434
1131,D124P312
1132,D124P105
1133,D124P285
1134,D124P7
1135,D124P465
1136,D124P249
1137,D124P181
1138,D124P329
1139,D124P318
1140,D124P397
1141,D124P53
1142,D124P466
1143,D124P132
1144,D124P227
1145,D124P42
1146,D124P444
1147,D124P13
1148,D124P321
1149,D124P96
1150,D124P370
1151,D124P455
1152,D124P255
1153,D124P460
1154,D124P151
1155,D124P48
1156,D266P455
1157,D266P13
1158,D266P288
1159,D266P129
1160,D266P384
1161,D266P217
1162,D266P397
1163,D266P465
1164,D266P285
1165,D266P368
1166,D266P466
1167,D266P96
1168,D266P330
1169,D266P370
1170,D266P133
1171,D266P336
1172,D266P325
1173,D266P151
1174,D266P257
1175,D266P460
1176,D266P48
1177,D266P132
1178,D266P312
1179,D266P172
1180,D266P342
1181,D266P53
1182,D266P329
1183,D266P358
1184,D266P222
1185,D266P321
1186,D266P318
1187,D266P250
1188,D266P341
1189,D266P181
1190,D266P90
1191,D266P123
1192,D266P27
1193,D266P7
1194,D266P365
1195,D266P249
1196,D266P444
1197,D266P105
1198,D266P42
1199,D266P445
1200,D266P255
1201,D266P434
1202,D266P291
1203,D225P291
1204,D225P288
1205,D225P132
1206,D225P257
1207,D225P330
1208,D225P129
1209,D225P13
1210,D225P217
1211,D225P133
1212,D225P105
1213,D225P285
1214,D225P384
1215,D225P465
1216,D225P434
1217,D225P365
1218,D225P342
1219,D225P250
1220,D225P7
1221,D225P341
1222,D225P368
1223,D225P193
1224,D225P90
1225,D225P27
1226,D225P336
1227,D225P249
1228,D225P96
1229,D225P460
1230,D225P455
1231,D225P151
1232,D225P312
1233,D225P227
1234,D225P370
1235,D225P48
1236,D225P42
1237,D225P358
1238,D225P53
1239,D225P255
1240,D225P123
1241,D225P318
1242,D225P397
1243,D225P321
1244,D225P466
1245,D225P84
1246,D217P133
1247,D217P255
1248,D217P318
1249,D217P42
1250,D217P285
1251,D217P132
1252,D217P336
1253,D217P342
1254,D217P365
1255,D217P465
1256,D217P90
1257,D217P172
1258,D217P27
1259,D217P321
1260,D217P291
1261,D217P384
1262,D217P455
1263,D217P434
1264,D217P96
1265,D217P329
1266,D217P105
1267,D217P466
1268,D217P217
1269,D217P7
1270,D217P250
1271,D217P445
1272,D217P48
1273,D217P84
1274,D217P325
1275,D217P249
1276,D217P13
1277,D217P330
1278,D217P53
1279,D217P370
1280,D392P466
1281,D392P249
1282,D392P281
1283,D392P444
1284,D392P200
1285,D392P291
1286,D392P434
1287,D392P329
1288,D392P255
1289,D392P172
1290,D392P384
1291,D392P445
1292,D392P193
1293,D392P145
1294,D392P275
1295,D392P420
1296,D392P13
1297,D392P90
1298,D392P158
1299,D392P422
1300,D392P187
1301,D392P151
1302,D392P304
1303,D392P84
1304,D392P330
1305,D392P370
1306,D312P145
1307,D312P53
1308,D312P249
1309,D312P120
1310,D312P7
1311,D312P129
1312,D312P325
1313,D312P397
1314,D312P27
1315,D312P304
1316,D312P466
1317,D312P336
1318,D312P288
1319,D312P133
1320,D312P132
1321,D312P455
1322,D312P465
1323,D312P408
1324,D312P187
1325,D312P285
1326,D312P105
1327,D312P281
1328,D312P370
1329,D312P181
1330,D312P42
1331,D312P330
